time                ,algo ,unpaid_total_amount ,unpaid_algo_amount ,profitability            ,balance
2021-03-29 15:45:00 ,47   ,0.00001478          ,0.00000061         ,0.00008064000000000001   ,
2021-03-29 15:40:00 ,20   ,0.00001450          ,0.00001389         ,0.00012672               ,
2021-03-29 15:40:00 ,47   ,0.00001450          ,0.00000061         ,0.00012672               ,
2021-03-29 15:35:00 ,20   ,0.00001406          ,0.00001347         ,0.00006624               ,
2021-03-29 15:35:00 ,47   ,0.00001406          ,0.00000059         ,0.00006624               ,
2021-03-29 15:30:00 ,20   ,0.00001383          ,0.00001326         ,0.00012096               ,
2021-03-29 15:30:00 ,47   ,0.00001383          ,0.00000057         ,0.00012096               ,
2021-03-29 15:25:00 ,20   ,0.00001341          ,0.00001285         ,0.00012096000000000001   ,
2021-03-29 15:25:00 ,47   ,0.00001341          ,0.00000056         ,0.00012096000000000001   ,
2021-03-29 15:20:00 ,20   ,0.00001299          ,0.00001245         ,0.00011520000000000001   ,
2021-03-29 15:20:00 ,47   ,0.00001299          ,0.00000054         ,0.00011520000000000001   ,
2021-03-29 15:15:00 ,20   ,0.00001259          ,0.00001205         ,0.00010367999999999998   ,
2021-03-29 15:15:00 ,47   ,0.00001259          ,0.00000054         ,0.00010367999999999998   ,
2021-03-29 15:10:00 ,20   ,0.00001223          ,0.00001170         ,0.00009215999999999998   ,
2021-03-29 15:10:00 ,47   ,0.00001223          ,0.00000053         ,0.00009215999999999998   ,
2021-03-29 15:05:00 ,20   ,0.00001191          ,0.00001140         ,0.00011808000000000002   ,
2021-03-29 15:05:00 ,47   ,0.00001191          ,0.00000051         ,0.00011808000000000002   ,
2021-03-29 15:00:00 ,20   ,0.00001150          ,0.00001102         ,0.00011520000000000001   ,
2021-03-29 15:00:00 ,47   ,0.00001150          ,0.00000048         ,0.00011520000000000001   ,
2021-03-29 14:55:00 ,20   ,0.00001110          ,0.00001064         ,0.00008064               ,
2021-03-29 14:55:00 ,47   ,0.00001110          ,0.00000046         ,0.00008064               ,
2021-03-29 14:50:00 ,20   ,0.00001082          ,0.00001037         ,0.00011808000000000001   ,
2021-03-29 14:50:00 ,47   ,0.00001082          ,0.00000045         ,0.00011808000000000001   ,
2021-03-29 14:45:00 ,20   ,0.00001041          ,0.00000997         ,0.00009216000000000001   ,
2021-03-29 14:45:00 ,47   ,0.00001041          ,0.00000044         ,0.00009216000000000001   ,
2021-03-29 14:40:00 ,20   ,0.00001009          ,0.00000965         ,0.00007776000000000001   ,
2021-03-29 14:40:00 ,47   ,0.00001009          ,0.00000044         ,0.00007776000000000001   ,
2021-03-29 14:35:00 ,20   ,0.00000982          ,0.00000939         ,0.00009504000000000001   ,
2021-03-29 14:35:00 ,47   ,0.00000982          ,0.00000043         ,0.00009504000000000001   ,
2021-03-29 14:30:00 ,20   ,0.00000949          ,0.00000907         ,0.00010368               ,
2021-03-29 14:30:00 ,47   ,0.00000949          ,0.00000042         ,0.00010368               ,
2021-03-29 14:25:00 ,20   ,0.00000913          ,0.00000873         ,0.00009216               ,
2021-03-29 14:25:00 ,47   ,0.00000913          ,0.00000040         ,0.00009216               ,
2021-03-29 14:20:00 ,20   ,0.00000881          ,0.00000842         ,0.00013824               ,
2021-03-29 14:20:00 ,47   ,0.00000881          ,0.00000039         ,0.00013824               ,
2021-03-29 14:15:00 ,20   ,0.00000833          ,0.00000797         ,0.00008640000000000001   ,
2021-03-29 14:15:00 ,47   ,0.00000833          ,0.00000036         ,0.00008640000000000001   ,
2021-03-29 14:10:00 ,20   ,0.00000803          ,0.00000769         ,0.00010080000000000001   ,
2021-03-29 14:10:00 ,47   ,0.00000803          ,0.00000034         ,0.00010080000000000001   ,
2021-03-29 14:05:00 ,20   ,0.00000768          ,0.00000734         ,0.00006912000000000002   ,
2021-03-29 14:05:00 ,47   ,0.00000768          ,0.00000034         ,0.00006912000000000002   ,
